Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
03 Alicante/Alacant	Número de plazas estimadas	2011M05	57.426
03 Alicante/Alacant	Número de plazas estimadas	2011M04	50.851
03 Alicante/Alacant	Número de plazas estimadas	2011M03	47.861
03 Alicante/Alacant	Número de plazas estimadas	2011M02	47.994
03 Alicante/Alacant	Número de plazas estimadas	2011M01	48.326
03 Alicante/Alacant	Número de plazas estimadas	2010M12	48.375
03 Alicante/Alacant	Número de plazas estimadas	2010M11	46.669
03 Alicante/Alacant	Número de plazas estimadas	2010M10	50.524
03 Alicante/Alacant	Número de plazas estimadas	2010M09	57.687
03 Alicante/Alacant	Número de plazas estimadas	2010M08	62.047
03 Alicante/Alacant	Número de plazas estimadas	2010M07	63.072
03 Alicante/Alacant	Número de plazas estimadas	2010M06	58.645
03 Alicante/Alacant	Número de plazas estimadas	2010M05	52.216
03 Alicante/Alacant	Número de plazas estimadas	2010M04	50.723
03 Alicante/Alacant	Número de plazas estimadas	2010M03	46.009
03 Alicante/Alacant	Número de plazas estimadas	2010M02	45.995
03 Alicante/Alacant	Número de plazas estimadas	2010M01	46.423
03 Alicante/Alacant	Número de plazas estimadas	2009M12	48.486
03 Alicante/Alacant	Número de plazas estimadas	2009M11	48.786
03 Alicante/Alacant	Número de plazas estimadas	2009M10	52.966
03 Alicante/Alacant	Número de plazas estimadas	2009M09	58.790
03 Alicante/Alacant	Número de plazas estimadas	2009M08	61.632
03 Alicante/Alacant	Número de plazas estimadas	2009M07	61.521
03 Alicante/Alacant	Número de plazas estimadas	2009M06	52.684
03 Alicante/Alacant	Número de plazas estimadas	2009M05	51.429
03 Alicante/Alacant	Número de plazas estimadas	2009M04	49.300
03 Alicante/Alacant	Número de plazas estimadas	2009M03	45.384
03 Alicante/Alacant	Número de plazas estimadas	2009M02	46.195
03 Alicante/Alacant	Número de plazas estimadas	2009M01	44.078
03 Alicante/Alacant	Número de plazas estimadas	2008M12	46.737
03 Alicante/Alacant	Número de plazas estimadas	2008M11	45.550
03 Alicante/Alacant	Número de plazas estimadas	2008M10	48.419
03 Alicante/Alacant	Número de plazas estimadas	2008M09	52.192
03 Alicante/Alacant	Número de plazas estimadas	2008M08	55.930
03 Alicante/Alacant	Número de plazas estimadas	2008M07	51.997
03 Alicante/Alacant	Número de plazas estimadas	2008M06	49.246
03 Alicante/Alacant	Número de plazas estimadas	2008M05	47.856
03 Alicante/Alacant	Número de plazas estimadas	2008M04	45.667
03 Alicante/Alacant	Número de plazas estimadas	2008M03	46.248
03 Alicante/Alacant	Número de plazas estimadas	2008M02	44.242
03 Alicante/Alacant	Número de plazas estimadas	2008M01	44.542
03 Alicante/Alacant	Número de plazas estimadas	2007M12	47.283
03 Alicante/Alacant	Número de plazas estimadas	2007M11	46.645
03 Alicante/Alacant	Número de plazas estimadas	2007M10	49.919
03 Alicante/Alacant	Número de plazas estimadas	2007M09	54.303
03 Alicante/Alacant	Número de plazas estimadas	2007M08	62.717
03 Alicante/Alacant	Número de plazas estimadas	2007M07	59.876
03 Alicante/Alacant	Número de plazas estimadas	2007M06	53.178
03 Alicante/Alacant	Número de plazas estimadas	2007M05	48.793
03 Alicante/Alacant	Número de plazas estimadas	2007M04	58.663
03 Alicante/Alacant	Número de plazas estimadas	2007M03	43.421
03 Alicante/Alacant	Número de plazas estimadas	2007M02	41.423
03 Alicante/Alacant	Número de plazas estimadas	2007M01	41.903
03 Alicante/Alacant	Número de plazas estimadas	2006M12	46.762
