Provincias;Sexo;Periodo;Total
15 Coruña, A;Total;1999;1.108.980
15 Coruña, A;Total;1998;1.106.325
15 Coruña, A;Total;1997;""
15 Coruña, A;Total;1996;1.110.302
16 Cuenca;Total;2021;195.516
16 Cuenca;Total;2020;196.139
16 Cuenca;Total;2019;196.329
16 Cuenca;Total;2018;197.222
16 Cuenca;Total;2017;198.718
16 Cuenca;Total;2016;201.071
16 Cuenca;Total;2015;203.841
16 Cuenca;Total;2014;207.449
16 Cuenca;Total;2013;211.899
16 Cuenca;Total;2012;218.036
16 Cuenca;Total;2011;219.138
16 Cuenca;Total;2010;217.716
16 Cuenca;Total;2009;217.363
16 Cuenca;Total;2008;215.274
16 Cuenca;Total;2007;211.375
16 Cuenca;Total;2006;208.616
16 Cuenca;Total;2005;207.974
16 Cuenca;Total;2004;204.546
16 Cuenca;Total;2003;202.982
16 Cuenca;Total;2002;201.614
16 Cuenca;Total;2001;201.526
16 Cuenca;Total;2000;201.053
16 Cuenca;Total;1999;200.963
16 Cuenca;Total;1998;199.086
16 Cuenca;Total;1997;""
16 Cuenca;Total;1996;201.712
20 Gipuzkoa;Total;2021;726.033
20 Gipuzkoa;Total;2020;727.121
20 Gipuzkoa;Total;2019;723.576
20 Gipuzkoa;Total;2018;720.592
20 Gipuzkoa;Total;2017;719.282
20 Gipuzkoa;Total;2016;717.832
20 Gipuzkoa;Total;2015;716.834
20 Gipuzkoa;Total;2014;715.148
20 Gipuzkoa;Total;2013;713.818
20 Gipuzkoa;Total;2012;712.097
20 Gipuzkoa;Total;2011;709.607
20 Gipuzkoa;Total;2010;707.263
20 Gipuzkoa;Total;2009;705.698
20 Gipuzkoa;Total;2008;701.056
20 Gipuzkoa;Total;2007;694.944
20 Gipuzkoa;Total;2006;691.895
20 Gipuzkoa;Total;2005;688.708
20 Gipuzkoa;Total;2004;686.513
20 Gipuzkoa;Total;2003;684.416
20 Gipuzkoa;Total;2002;682.977
20 Gipuzkoa;Total;2001;680.069
20 Gipuzkoa;Total;2000;679.370
20 Gipuzkoa;Total;1999;677.275
20 Gipuzkoa;Total;1998;676.439
20 Gipuzkoa;Total;1997;""
20 Gipuzkoa;Total;1996;676.208
17 Girona;Total;2021;786.596
17 Girona;Total;2020;781.788
17 Girona;Total;2019;771.044
17 Girona;Total;2018;761.947
17 Girona;Total;2017;755.716
17 Girona;Total;2016;753.576
17 Girona;Total;2015;753.054
17 Girona;Total;2014;756.156
17 Girona;Total;2013;761.632
17 Girona;Total;2012;761.627
17 Girona;Total;2011;756.810
17 Girona;Total;2010;753.046
17 Girona;Total;2009;747.782
17 Girona;Total;2008;731.864
17 Girona;Total;2007;706.185
17 Girona;Total;2006;687.331
17 Girona;Total;2005;664.506
17 Girona;Total;2004;636.198
17 Girona;Total;2003;619.692
17 Girona;Total;2002;598.112
17 Girona;Total;2001;579.650
17 Girona;Total;2000;565.599
17 Girona;Total;1999;553.348
17 Girona;Total;1998;543.191
17 Girona;Total;1997;""
